STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",6/14/2010,0.01,0,79,64
USW00094728,"NY CITY CENTRAL PARK, NY US",6/15/2010,0,0,81,64
USW00094728,"NY CITY CENTRAL PARK, NY US",6/16/2010,0,0,75,64
USW00094728,"NY CITY CENTRAL PARK, NY US",6/17/2010,0.45,0,74,65
USW00094728,"NY CITY CENTRAL PARK, NY US",6/18/2010,0,0,86,60
USW00094728,"NY CITY CENTRAL PARK, NY US",6/19/2010,0,0,81,64
USW00094728,"NY CITY CENTRAL PARK, NY US",6/20/2010,0,0,89,71
USW00094728,"NY CITY CENTRAL PARK, NY US",6/21/2010,0,0,87,71
USW00094728,"NY CITY CENTRAL PARK, NY US",6/22/2010,0.27,0,87,71
USW00094728,"NY CITY CENTRAL PARK, NY US",6/23/2010,0,0,89,71
USW00094728,"NY CITY CENTRAL PARK, NY US",6/24/2010,0,0,92,76
USW00094728,"NY CITY CENTRAL PARK, NY US",6/25/2010,0,0,87,71
USW00094728,"NY CITY CENTRAL PARK, NY US",6/26/2010,0,0,89,71
USW00094728,"NY CITY CENTRAL PARK, NY US",6/27/2010,0,0,91,71
USW00094728,"NY CITY CENTRAL PARK, NY US",6/28/2010,0.01,0,93,76
USW00094728,"NY CITY CENTRAL PARK, NY US",6/29/2010,0,0,91,70
USW00094728,"NY CITY CENTRAL PARK, NY US",6/30/2010,0,0,79,62
USW00094728,"NY CITY CENTRAL PARK, NY US",7/1/2010,0,0,77,62
USW00094728,"NY CITY CENTRAL PARK, NY US",7/2/2010,0,0,82,61
USW00094728,"NY CITY CENTRAL PARK, NY US",7/3/2010,0,0,89,65
USW00094728,"NY CITY CENTRAL PARK, NY US",7/4/2010,0,0,96,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/5/2010,0,0,99,76
USW00094728,"NY CITY CENTRAL PARK, NY US",7/6/2010,0,0,103,81
USW00094728,"NY CITY CENTRAL PARK, NY US",7/7/2010,0,0,100,80
USW00094728,"NY CITY CENTRAL PARK, NY US",7/8/2010,0,0,89,77
USW00094728,"NY CITY CENTRAL PARK, NY US",7/9/2010,0.02,0,90,75
USW00094728,"NY CITY CENTRAL PARK, NY US",7/10/2010,0,0,83,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/11/2010,0,0,94,71
USW00094728,"NY CITY CENTRAL PARK, NY US",7/12/2010,0,0,94,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/13/2010,0.84,0,83,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/14/2010,0.45,0,79,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/15/2010,0,0,87,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/16/2010,0,0,93,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/17/2010,0,0,94,76
USW00094728,"NY CITY CENTRAL PARK, NY US",7/18/2010,0,0,94,78
USW00094728,"NY CITY CENTRAL PARK, NY US",7/19/2010,0.15,0,92,72
USW00094728,"NY CITY CENTRAL PARK, NY US",7/20/2010,0,0,89,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/21/2010,0,0,93,76
USW00094728,"NY CITY CENTRAL PARK, NY US",7/22/2010,0,0,90,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/23/2010,0.7,0,87,73
USW00094728,"NY CITY CENTRAL PARK, NY US",7/24/2010,0,0,97,80
USW00094728,"NY CITY CENTRAL PARK, NY US",7/25/2010,0.35,0,93,70
USW00094728,"NY CITY CENTRAL PARK, NY US",7/26/2010,0,0,87,68
USW00094728,"NY CITY CENTRAL PARK, NY US",7/27/2010,0,0,91,70
USW00094728,"NY CITY CENTRAL PARK, NY US",7/28/2010,0,0,89,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/29/2010,0.09,0,89,74
USW00094728,"NY CITY CENTRAL PARK, NY US",7/30/2010,0,0,85,66
USW00094728,"NY CITY CENTRAL PARK, NY US",7/31/2010,0,0,85,66
USW00094728,"NY CITY CENTRAL PARK, NY US",8/1/2010,0,0,80,70
USW00094728,"NY CITY CENTRAL PARK, NY US",8/2/2010,0,0,85,69
USW00094728,"NY CITY CENTRAL PARK, NY US",8/3/2010,0,0,86,72
USW00094728,"NY CITY CENTRAL PARK, NY US",8/4/2010,0,0,91,75
USW00094728,"NY CITY CENTRAL PARK, NY US",8/5/2010,0.02,0,95,77
USW00094728,"NY CITY CENTRAL PARK, NY US",8/6/2010,0,0,90,70
USW00094728,"NY CITY CENTRAL PARK, NY US",8/7/2010,0,0,87,68
USW00094728,"NY CITY CENTRAL PARK, NY US",8/8/2010,0,0,89,73
USW00094728,"NY CITY CENTRAL PARK, NY US",8/9/2010,0,0,94,74
USW00094728,"NY CITY CENTRAL PARK, NY US",8/10/2010,0,0,92,78
USW00094728,"NY CITY CENTRAL PARK, NY US",8/11/2010,0,0,93,76
USW00094728,"NY CITY CENTRAL PARK, NY US",8/12/2010,0.09,0,76,68
USW00094728,"NY CITY CENTRAL PARK, NY US",8/13/2010,0,0,82,68
USW00094728,"NY CITY CENTRAL PARK, NY US",8/14/2010,0,0,82,65
USW00094728,"NY CITY CENTRAL PARK, NY US",8/15/2010,0.16,0,77,67
USW00094728,"NY CITY CENTRAL PARK, NY US",8/16/2010,0.11,0,86,69
USW00094728,"NY CITY CENTRAL PARK, NY US",8/17/2010,0,0,91,74
USW00094728,"NY CITY CENTRAL PARK, NY US",8/18/2010,0,0,86,72
USW00094728,"NY CITY CENTRAL PARK, NY US",8/19/2010,0,0,91,68
USW00094728,"NY CITY CENTRAL PARK, NY US",8/20/2010,0,0,90,73
USW00094728,"NY CITY CENTRAL PARK, NY US",8/21/2010,0,0,85,66
USW00094728,"NY CITY CENTRAL PARK, NY US",8/22/2010,1.69,0,80,69
USW00094728,"NY CITY CENTRAL PARK, NY US",8/23/2010,1.05,0,70,65
USW00094728,"NY CITY CENTRAL PARK, NY US",8/24/2010,0.02,0,70,64
USW00094728,"NY CITY CENTRAL PARK, NY US",8/25/2010,1,0,69,64
USW00094728,"NY CITY CENTRAL PARK, NY US",8/26/2010,0,0,82,65
USW00094728,"NY CITY CENTRAL PARK, NY US",8/27/2010,0,0,79,61
USW00094728,"NY CITY CENTRAL PARK, NY US",8/28/2010,0,0,83,62
USW00094728,"NY CITY CENTRAL PARK, NY US",8/29/2010,0,0,94,67
USW00094728,"NY CITY CENTRAL PARK, NY US",8/30/2010,0,0,92,72
USW00094728,"NY CITY CENTRAL PARK, NY US",8/31/2010,0,0,96,76
USW00094728,"NY CITY CENTRAL PARK, NY US",9/1/2010,0,0,96,76
USW00094728,"NY CITY CENTRAL PARK, NY US",9/2/2010,0,0,94,78
USW00094728,"NY CITY CENTRAL PARK, NY US",9/3/2010,0,0,85,75
USW00094728,"NY CITY CENTRAL PARK, NY US",9/4/2010,0,0,81,64
USW00094728,"NY CITY CENTRAL PARK, NY US",9/5/2010,0,0,78,61
USW00094728,"NY CITY CENTRAL PARK, NY US",9/6/2010,0,0,80,60
USW00094728,"NY CITY CENTRAL PARK, NY US",9/7/2010,0,0,89,68
USW00094728,"NY CITY CENTRAL PARK, NY US",9/8/2010,0,0,90,66
USW00094728,"NY CITY CENTRAL PARK, NY US",9/9/2010,0,0,70,61
USW00094728,"NY CITY CENTRAL PARK, NY US",9/10/2010,0,0,74,61
USW00094728,"NY CITY CENTRAL PARK, NY US",9/11/2010,0,0,79,59
USW00094728,"NY CITY CENTRAL PARK, NY US",9/12/2010,0.15,0,67,59
USW00094728,"NY CITY CENTRAL PARK, NY US",9/13/2010,0.13,0,77,59
USW00094728,"NY CITY CENTRAL PARK, NY US",9/14/2010,0,0,76,60
USW00094728,"NY CITY CENTRAL PARK, NY US",9/15/2010,0,0,72,57
USW00094728,"NY CITY CENTRAL PARK, NY US",9/16/2010,0.46,0,72,57
USW00094728,"NY CITY CENTRAL PARK, NY US",9/17/2010,0.05,0,71,59
USW00094728,"NY CITY CENTRAL PARK, NY US",9/18/2010,0,0,70,58
USW00094728,"NY CITY CENTRAL PARK, NY US",9/19/2010,0,0,81,61
USW00094728,"NY CITY CENTRAL PARK, NY US",9/20/2010,0,0,74,59
USW00094728,"NY CITY CENTRAL PARK, NY US",9/21/2010,0,0,74,54
USW00094728,"NY CITY CENTRAL PARK, NY US",9/22/2010,0.12,0,87,64
USW00094728,"NY CITY CENTRAL PARK, NY US",9/23/2010,0,0,81,66
USW00094728,"NY CITY CENTRAL PARK, NY US",9/24/2010,0,0,85,67
USW00094728,"NY CITY CENTRAL PARK, NY US",9/25/2010,0,0,89,67
USW00094728,"NY CITY CENTRAL PARK, NY US",9/26/2010,0,0,72,63
USW00094728,"NY CITY CENTRAL PARK, NY US",9/27/2010,1.33,0,72,61
USW00094728,"NY CITY CENTRAL PARK, NY US",9/28/2010,0.33,0,73,70
USW00094728,"NY CITY CENTRAL PARK, NY US",9/29/2010,0,0,78,63
USW00094728,"NY CITY CENTRAL PARK, NY US",9/30/2010,1.1,0,75,69
USW00094728,"NY CITY CENTRAL PARK, NY US",10/1/2010,2.46,0,74,59
USW00094728,"NY CITY CENTRAL PARK, NY US",10/2/2010,0,0,66,52
USW00094728,"NY CITY CENTRAL PARK, NY US",10/3/2010,0.03,0,64,50
USW00094728,"NY CITY CENTRAL PARK, NY US",10/4/2010,0.34,0,55,52
USW00094728,"NY CITY CENTRAL PARK, NY US",10/5/2010,0,0,61,53
USW00094728,"NY CITY CENTRAL PARK, NY US",10/6/2010,0,0,64,54
USW00094728,"NY CITY CENTRAL PARK, NY US",10/7/2010,0,0,71,53
USW00094728,"NY CITY CENTRAL PARK, NY US",10/8/2010,0,0,73,54
USW00094728,"NY CITY CENTRAL PARK, NY US",10/9/2010,0,0,72,54
USW00094728,"NY CITY CENTRAL PARK, NY US",10/10/2010,0,0,69,46
USW00094728,"NY CITY CENTRAL PARK, NY US",10/11/2010,1.13,0,75,57
USW00094728,"NY CITY CENTRAL PARK, NY US",10/12/2010,0.09,0,69,54
USW00094728,"NY CITY CENTRAL PARK, NY US",10/13/2010,0,0,64,48
USW00094728,"NY CITY CENTRAL PARK, NY US",10/14/2010,0.61,0,63,50
USW00094728,"NY CITY CENTRAL PARK, NY US",10/15/2010,0.02,0,57,49
USW00094728,"NY CITY CENTRAL PARK, NY US",10/16/2010,0,0,58,50
USW00094728,"NY CITY CENTRAL PARK, NY US",10/17/2010,0,0,69,48
USW00094728,"NY CITY CENTRAL PARK, NY US",10/18/2010,0,0,60,50
USW00094728,"NY CITY CENTRAL PARK, NY US",10/19/2010,0.03,0,59,47
USW00094728,"NY CITY CENTRAL PARK, NY US",10/20/2010,0,0,59,47
USW00094728,"NY CITY CENTRAL PARK, NY US",10/21/2010,0.01,0,62,49
USW00094728,"NY CITY CENTRAL PARK, NY US",10/22/2010,0,0,53,46
USW00094728,"NY CITY CENTRAL PARK, NY US",10/23/2010,0,0,64,44
USW00094728,"NY CITY CENTRAL PARK, NY US",10/24/2010,0,0,68,53
USW00094728,"NY CITY CENTRAL PARK, NY US",10/25/2010,0,0,74,54
USW00094728,"NY CITY CENTRAL PARK, NY US",10/26/2010,0,0,72,63
USW00094728,"NY CITY CENTRAL PARK, NY US",10/27/2010,0.19,0,75,65
USW00094728,"NY CITY CENTRAL PARK, NY US",10/28/2010,0,0,74,56
USW00094728,"NY CITY CENTRAL PARK, NY US",10/29/2010,0,0,57,47
USW00094728,"NY CITY CENTRAL PARK, NY US",10/30/2010,0,0,57,42
USW00094728,"NY CITY CENTRAL PARK, NY US",10/31/2010,0,0,58,42
USW00094728,"NY CITY CENTRAL PARK, NY US",11/1/2010,0,0,49,37
USW00094728,"NY CITY CENTRAL PARK, NY US",11/2/2010,0,0,50,36
USW00094728,"NY CITY CENTRAL PARK, NY US",11/3/2010,0,0,54,41
USW00094728,"NY CITY CENTRAL PARK, NY US",11/4/2010,1.09,0,51,47
USW00094728,"NY CITY CENTRAL PARK, NY US",11/5/2010,0.05,0,52,45
USW00094728,"NY CITY CENTRAL PARK, NY US",11/6/2010,0,0,51,40
USW00094728,"NY CITY CENTRAL PARK, NY US",11/7/2010,0,0,51,36
USW00094728,"NY CITY CENTRAL PARK, NY US",11/8/2010,0.04,0,45,40
USW00094728,"NY CITY CENTRAL PARK, NY US",11/9/2010,0,0,54,41
USW00094728,"NY CITY CENTRAL PARK, NY US",11/10/2010,0,0,56,46
USW00094728,"NY CITY CENTRAL PARK, NY US",11/11/2010,0,0,56,42
USW00094728,"NY CITY CENTRAL PARK, NY US",11/12/2010,0,0,62,45
USW00094728,"NY CITY CENTRAL PARK, NY US",11/13/2010,0,0,64,46
USW00094728,"NY CITY CENTRAL PARK, NY US",11/14/2010,0,0,61,46
USW00094728,"NY CITY CENTRAL PARK, NY US",11/15/2010,0,0,57,50
USW00094728,"NY CITY CENTRAL PARK, NY US",11/16/2010,0.45,0,59,52
USW00094728,"NY CITY CENTRAL PARK, NY US",11/17/2010,0.21,0,60,51
USW00094728,"NY CITY CENTRAL PARK, NY US",11/18/2010,0,0,55,45
USW00094728,"NY CITY CENTRAL PARK, NY US",11/19/2010,0,0,48,40
USW00094728,"NY CITY CENTRAL PARK, NY US",11/20/2010,0,0,55,41
USW00094728,"NY CITY CENTRAL PARK, NY US",11/21/2010,0,0,48,39
USW00094728,"NY CITY CENTRAL PARK, NY US",11/22/2010,0,0,65,45
USW00094728,"NY CITY CENTRAL PARK, NY US",11/23/2010,0,0,61,50
USW00094728,"NY CITY CENTRAL PARK, NY US",11/24/2010,0,0,50,41
USW00094728,"NY CITY CENTRAL PARK, NY US",11/25/2010,0.06,0,46,39
USW00094728,"NY CITY CENTRAL PARK, NY US",11/26/2010,0.16,0,53,38
USW00094728,"NY CITY CENTRAL PARK, NY US",11/27/2010,0,0,42,34
USW00094728,"NY CITY CENTRAL PARK, NY US",11/28/2010,0,0,47,34
USW00094728,"NY CITY CENTRAL PARK, NY US",11/29/2010,0,0,48,35
USW00094728,"NY CITY CENTRAL PARK, NY US",11/30/2010,0.09,0,57,44
